image,landmark,x,y,z,visibility
frame2.png,NOSE,764.9057006835938,334.97936725616455,-0.00787794403731823,0.9905356764793396
frame2.png,LEFT_EYE_INNER,761.9094848632812,340.1039528846741,-0.021664045751094818,0.9966970682144165
frame2.png,LEFT_EYE,761.8250274658203,340.5080223083496,-0.021854937076568604,0.9964408278465271
frame2.png,LEFT_EYE_OUTER,761.9697570800781,340.2793049812317,-0.021859094500541687,0.9981630444526672
frame2.png,RIGHT_EYE_INNER,760.352783203125,341.1271619796753,-0.004345698282122612,0.9942629933357239
frame2.png,RIGHT_EYE,759.3426513671875,341.48953914642334,-0.004487304948270321,0.9921615719795227
frame2.png,RIGHT_EYE_OUTER,758.7977600097656,341.7287492752075,-0.00452171778306365,0.9948891401290894
frame2.png,LEFT_EAR,757.1297454833984,337.3353338241577,-0.06465853750705719,0.9985244870185852
frame2.png,RIGHT_EAR,752.1788024902344,339.4645142555237,0.013476168736815453,0.9843403100967407
frame2.png,MOUTH_LEFT,761.2241363525391,329.82454776763916,-0.01919492892920971,0.9868465065956116
frame2.png,MOUTH_RIGHT,758.5984802246094,330.7281732559204,0.0022109784185886383,0.978184163570404
frame2.png,LEFT_SHOULDER,755.9177398681641,303.57449769973755,-0.10728050768375397,0.999600350856781
frame2.png,RIGHT_SHOULDER,724.0860748291016,305.35138607025146,0.07331207394599915,0.9972225427627563
frame2.png,LEFT_ELBOW,788.8027191162109,285.36691188812256,-0.09322166442871094,0.519027829170227
frame2.png,RIGHT_ELBOW,712.7450561523438,313.83819580078125,0.17243564128875732,0.006464726757258177
frame2.png,LEFT_WRIST,817.7463531494141,283.89045238494873,-0.0084031131118536,0.4186132550239563
frame2.png,RIGHT_WRIST,715.2115631103516,337.7739930152893,0.24235031008720398,0.04382669925689697
frame2.png,LEFT_PINKY,831.6827392578125,288.6579179763794,-0.010471387766301632,0.4040429890155792
frame2.png,RIGHT_PINKY,713.0995178222656,343.6290192604065,0.2539167106151581,0.0838419497013092
frame2.png,LEFT_INDEX,833.6295318603516,292.1760964393616,-0.0039784908294677734,0.39263707399368286
frame2.png,RIGHT_INDEX,715.5831146240234,343.723669052124,0.24540022015571594,0.08709045499563217
frame2.png,LEFT_THUMB,828.0570983886719,293.07517290115356,-0.002232741564512253,0.25091859698295593
frame2.png,RIGHT_THUMB,717.9301452636719,341.63821935653687,0.2388434112071991,0.07513412833213806
frame2.png,LEFT_HIP,736.2754821777344,193.1391978263855,-0.05442749708890915,0.9998855590820312
frame2.png,RIGHT_HIP,726.9086456298828,194.30389881134033,0.05433838441967964,0.9998550415039062
frame2.png,LEFT_KNEE,689.2938995361328,161.44334077835083,0.009353067725896835,0.09928376227617264
frame2.png,RIGHT_KNEE,696.1043548583984,169.11588549613953,0.14637096226215363,0.026924168691039085
frame2.png,LEFT_ANKLE,653.1163787841797,164.1285538673401,0.13365010917186737,0.12615251541137695
frame2.png,RIGHT_ANKLE,667.4483489990234,170.24275660514832,0.2635604739189148,0.055882833898067474
frame2.png,LEFT_HEEL,647.4533081054688,164.2922866344452,0.1467093676328659,0.18504305183887482
frame2.png,RIGHT_HEEL,664.0501403808594,170.77795386314392,0.27642226219177246,0.12423836439847946
frame2.png,LEFT_FOOT_INDEX,645.6329345703125,160.91017127037048,0.13960987329483032,0.11796438694000244
frame2.png,RIGHT_FOOT_INDEX,659.2155456542969,166.5107524394989,0.27557823061943054,0.04687352851033211
frame4.png,NOSE,673.3929443359375,290.5965328216553,-0.20788535475730896,0.9360840916633606
frame4.png,LEFT_EYE_INNER,669.8358154296875,293.9999771118164,-0.20584841072559357,0.9159913063049316
frame4.png,LEFT_EYE,668.7856292724609,293.7433433532715,-0.2060396373271942,0.9143681526184082
frame4.png,LEFT_EYE_OUTER,667.7635955810547,293.15529584884644,-0.20608797669410706,0.9403171539306641
frame4.png,RIGHT_EYE_INNER,673.6743927001953,295.1798486709595,-0.20694586634635925,0.9530344009399414
frame4.png,RIGHT_EYE,674.8416900634766,295.33586740493774,-0.20716798305511475,0.9615198969841003
frame4.png,RIGHT_EYE_OUTER,676.0268402099609,295.6618094444275,-0.20733654499053955,0.9751613736152649
frame4.png,LEFT_EAR,668.7400054931641,289.93741750717163,-0.1744081974029541,0.9592916965484619
frame4.png,RIGHT_EAR,680.4075622558594,294.07705307006836,-0.17930369079113007,0.9351109266281128
frame4.png,MOUTH_LEFT,674.2581939697266,284.9045205116272,-0.1922106146812439,0.9292072653770447
frame4.png,MOUTH_RIGHT,678.5189819335938,286.35555267333984,-0.19491274654865265,0.9544988870620728
